"","addr","code","lat","lng","name","type","created_at","remain_stat","stock_at","remain_stat_kr","구분","시도","시군구","동"
"499","경기도 고양시 덕양구 토당로12번길 42 (토당동)","31838758",37.6195109,126.8242461,"메디팜글라라약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:16:00","1개 이하","약국","경기도","고양시 덕양구","토당동"
"500","경기도 이천시 중리천로21번길 18 (창전동)","41827228",37.2812999,127.44081,"대명당약국","01","2020/03/14 23:55:00","empty","2020/03/14 12:56:00","1개 이하","약국","경기도","이천시","창전동"
"501","원주시 귀래면 북원로 123","2248303042",37.1715769,127.8839701,"귀래우체국","02","2020/03/14 23:55:00","empty","2020/03/13 07:54:00","1개 이하","우체국","강원도","원주시","귀래면"
"502","전남 신안군 증도면 증동리 1711번지","4118210169",35.0018721,126.1404971,"북신안농협하나로마트증도점","03","2020/03/14 23:55:00","empty","2020/03/13 10:06:00","1개 이하","농협","전라남도","신안군","증도면"
"503","전라남도 목포시 용당로 281 (용해동, 종원빌딩)","36807354",34.8123212,126.3990788,"대진약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:57:00","1개 이하","약국","전라남도","목포시","용해동"
"504","전라북도 전주시 덕진구 붓내3길 24 1층 (송천동2가)","35814306",35.8665245,127.1240339,"엔씨피희망약국","01","2020/03/14 23:55:00","empty","2020/03/14 10:05:00","1개 이하","약국","전라북도","전주시 덕진구","송천동2가"
"505","충청북도 청주시 흥덕구 오송읍 오송생명로 202 102호","33817227",36.6305667,127.3311819,"다솔약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:25:00","1개 이하","약국","충청북도","청주시 흥덕구","오송읍"
"506","경기도 평택시 신촌2로 22 맘스스퀘어 B동 3층 305호 (칠원동)","41849981",37.0260471,127.1040567,"예그리나 약국","01","2020/03/14 23:55:00","empty","2020/03/14 08:55:00","1개 이하","약국","경기도","평택시","칠원동"
"507","서울특별시 관악구 난곡로 194 (신림동)","12824364",37.4722776,126.9196221,"서울약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:19:00","1개 이하","약국","서울특별시","관악구","신림동"
"508","경기도 여주시 세종로 69 1층 (홍문동)","41849418",37.2915058,127.6356255,"즐거운약국","01","2020/03/14 23:55:00","empty","2020/03/14 09:18:00","1개 이하","약국","경기도","여주시","홍문동"
"509","부산광역시 연제구 월드컵대로 17 (연산동)","21801541",35.1762025,129.0856998,"연산시장약국","01","2020/03/14 23:55:00","empty","2020/03/14 11:03:00","1개 이하","약국","부산광역시","연제구","연산동"
"510","경상남도 통영시 무전7길 170 (무전동)","38829924",34.8648538,128.4216684,"동아약국","01","2020/03/14 23:55:00","empty","2020/03/14 08:50:00","1개 이하","약국","경상남도","통영시","무전동"
